PermitNo,ContactID,ContactTypeCode,ProductType,ContactPriority,DateCreated
2015 SSO,80,MAILING,FOG,1,2015-02-06 08:56:16.450
2014 SSO,81,MAILING,FOG,1,2015-02-09 07:56:22.387
FA0000003,85,MAILING,FOG,1,2015-03-20 08:09:49.433
FA0000004,86,MAILING,FOG,1,2015-03-20 08:09:49.670
FA0000005,87,MAILING,FOG,1,2015-03-20 08:09:49.673
FA0000009,88,MAILING,FOG,1,2015-03-20 08:09:49.680
FA0000011,89,MAILING,FOG,1,2015-03-20 08:09:49.683
FA0000012,90,MAILING,FOG,1,2015-03-20 08:09:49.687
FA0000014,91,MAILING,FOG,1,2015-03-20 08:09:49.717
FA0000015,92,MAILING,FOG,1,2015-03-20 08:09:49.720
FA0000016,93,MAILING,FOG,1,2015-03-20 08:09:49.723
FA0000017,94,MAILING,FOG,1,2015-03-20 08:09:49.727
FA0000020,95,MAILING,FOG,1,2015-03-20 08:09:49.730
FA0000021,96,MAILING,FOG,1,2015-03-20 08:09:49.737
FA0000024,97,MAILING,FOG,1,2015-03-20 08:09:49.740
FA0000025,98,MAILING,FOG,1,2015-03-20 08:09:49.743
FA0000027,99,MAILING,FOG,1,2015-03-20 08:09:49.753
FA0000031,101,MAILING,FOG,1,2015-03-20 08:09:49.787
FA0000032,102,MAILING,FOG,1,2015-03-20 08:09:49.793
FA0000033,103,MAILING,FOG,1,2015-03-20 08:09:49.800
FA0000035,104,MAILING,FOG,1,2015-03-20 08:09:49.803
FA0000036,105,MAILING,FOG,1,2015-03-20 08:09:49.807
FA0000038,106,MAILING,FOG,1,2015-03-20 08:09:49.810
FA0000039,107,MAILING,FOG,1,2015-03-20 08:09:49.813
FA0000048,108,MAILING,FOG,1,2015-03-20 08:09:49.820
FA0000049,109,MAILING,FOG,1,2015-03-20 08:09:49.827
FA0000053,110,MAILING,FOG,1,2015-03-20 08:09:49.840
FA0000055,111,MAILING,FOG,1,2015-03-20 08:09:49.843
FA0000058,112,MAILING,FOG,1,2015-03-20 08:09:49.850
FA0000059,113,MAILING,FOG,1,2015-03-20 08:09:49.853
FA0000061,114,MAILING,FOG,1,2015-03-20 08:09:49.873
FA0000064,116,MAILING,FOG,1,2015-03-20 08:09:49.983
FA0000065,117,MAILING,FOG,1,2015-03-20 08:09:49.990
FA0000067,119,MAILING,FOG,1,2015-03-20 08:09:49.997
FA0000068,120,MAILING,FOG,1,2015-03-20 08:09:50.000
FA0000070,121,MAILING,FOG,1,2015-03-20 08:09:50.007
FA0000071,122,MAILING,FOG,1,2015-03-20 08:09:50.010
FA0000073,123,MAILING,FOG,1,2015-03-20 08:09:50.013
FA0000074,124,MAILING,FOG,1,2015-03-20 08:09:50.020
FA0000078,125,MAILING,FOG,1,2015-03-20 08:09:50.023
FA0000079,126,MAILING,FOG,1,2015-03-20 08:09:50.027
FA0000080,127,Restaurant Manager,FOG,1,2015-03-20 08:09:50.030
FA0000081,128,MAILING,FOG,1,2015-03-20 08:09:50.037
FA0000082,129,MAILING,FOG,1,2015-03-20 08:09:50.040
FA0000083,130,MAILING,FOG,1,2015-03-20 08:09:50.043
FA0000088,131,MAILING,FOG,1,2015-03-20 08:09:50.050
FA0000092,132,MAILING,FOG,1,2015-03-20 08:09:50.053
FA0000096,133,MAILING,FOG,1,2015-03-20 08:09:50.070
FA0000097,134,MAILING,FOG,1,2015-03-20 08:09:50.077
FA0000099,135,MAILING,FOG,1,2015-03-20 08:09:50.087
FA0000100,136,MAILING,FOG,1,2015-03-20 08:09:50.110
FA0000101,137,MAILING,FOG,1,2015-03-20 08:09:50.123
FA0000108,138,MAILING,FOG,1,2015-03-20 08:09:50.133
FA0000113,140,Building Manager GTK Real Estate,FOG,1,2015-03-20 08:09:50.147
FA0000115,141,MAILING,FOG,1,2015-03-20 08:09:50.150
FA0000119,142,MAILING,FOG,1,2015-03-20 08:09:50.167
FA0000120,143,MAILING,FOG,1,2015-03-20 08:09:50.173
FA0000125,144,MAILING,FOG,1,2015-03-20 08:09:50.180
FA0000126,145,MAILING,FOG,1,2015-03-20 08:09:50.183
FA0000127,146,MAILING,FOG,1,2015-03-20 08:09:50.187
FA0000129,147,MAILING,FOG,1,2015-03-20 08:09:50.190
FA0000130,148,MAILING,FOG,1,2015-03-20 08:09:50.197
FA0000131,149,MAILING,FOG,1,2015-03-20 08:09:50.200
FA0000133,150,MAILING,FOG,1,2015-03-20 08:09:50.210
FA0000137,151,MAILING,FOG,1,2015-03-20 08:09:50.213
FA0000138,152,MAILING,FOG,1,2015-03-20 08:09:50.217
FA0000141,154,MAILING,FOG,1,2015-03-20 08:09:50.227
FA0000142,155,MAILING,FOG,1,2015-03-20 08:09:50.230
FA0000144,156,MAILING,FOG,1,2015-03-20 08:09:50.243
FA0000146,157,MAILING,FOG,1,2015-03-20 08:09:50.270
FA0000147,158,MAILING,FOG,1,2015-03-20 08:09:50.277
FA0000149,159,MAILING,FOG,1,2015-03-20 08:09:50.280
FA0000151,161,MAILING,FOG,1,2015-03-20 08:09:50.290
FA0000153,162,MAILING,FOG,1,2015-03-20 08:09:50.293
FA0000157,163,MAILING,FOG,1,2015-03-20 08:09:50.297
FA0000158,164,MAILING,FOG,1,2015-03-20 08:09:50.300
FA0000159,165,MAILING,FOG,1,2015-03-20 08:09:50.307
FA0000160,166,MAILING,FOG,1,2015-03-20 08:09:50.310
