FrequencyCode,TimesPerYear,DaysBtwnEvts,MonthsBtwnEvts,YearsBtwnEvts,ViewType,StartDate,EndDate,InView,CalendarView,EventsView,SortOrder
1st Quarter,NULL,NULL,NULL,NULL,View,NULL,NULL,1,0,0,1
2nd Quarter,NULL,NULL,NULL,NULL,View,NULL,NULL,1,0,0,2
3rd Quarter,NULL,NULL,NULL,NULL,View,NULL,NULL,1,0,0,3
4th Quarter,NULL,NULL,NULL,NULL,View,NULL,NULL,1,0,0,4
Annual,1,0,0,1,Freq,NULL,NULL,0,0,0,NULL
Any,NULL,NULL,NULL,NULL,View,1970-01-01 00:00:00.000,2029-07-24 23:59:59.000,1,0,0,0.5
Daily,365,1,0,0,Freq,NULL,NULL,0,0,0,NULL
Every 5 Years,NULL,0,0,5,Freq,NULL,NULL,0,0,0,NULL
Full Size,NULL,NULL,NULL,NULL,View,NULL,NULL,0,1,0,5
Last 12 Months,NULL,NULL,NULL,NULL,View,2018-07-01 00:00:00.000,2019-06-30 23:59:59.000,1,0,0,6
Last 3 Months,NULL,NULL,NULL,NULL,View,2019-04-01 00:00:00.000,2019-06-30 23:59:59.000,1,0,0,7
Last 6 Months,NULL,NULL,NULL,NULL,View,2019-01-01 00:00:00.000,2019-06-30 23:59:59.000,1,0,0,8
Last 9 Months,NULL,NULL,NULL,NULL,View,2018-10-01 00:00:00.000,2019-06-30 23:59:59.000,1,0,0,9
Last Month,NULL,NULL,NULL,NULL,View,2019-06-01 00:00:00.000,2019-06-30 23:59:59.000,1,0,0,10
Last Week,NULL,NULL,NULL,NULL,View,2019-07-14 00:00:00.000,2019-07-20 23:59:59.000,1,0,0,11
Last Year,NULL,NULL,NULL,NULL,View,2018-01-01 00:00:00.000,2018-12-31 23:59:59.000,1,0,0,12
List View,NULL,NULL,NULL,NULL,View,NULL,NULL,0,1,0,13
Monthly,12,0,1,0,Freq,NULL,NULL,0,0,0,NULL
Never,0,0,0,0,Freq,NULL,NULL,0,0,0,NULL
Next Month,NULL,NULL,NULL,NULL,View,2019-08-01 00:00:00.000,2019-08-31 23:59:59.000,1,0,0,14
Next Week,NULL,NULL,NULL,NULL,View,2019-07-28 00:00:00.000,2019-08-03 23:59:59.000,1,0,0,15
Next Year,NULL,NULL,NULL,NULL,View,2020-01-01 00:00:00.000,2020-12-31 23:59:59.000,1,0,0,16
PermitAuthSamp,NULL,NULL,NULL,NULL,Freq,NULL,NULL,1,0,0,NULL
PermitInsp,NULL,NULL,NULL,NULL,Freq,NULL,NULL,1,0,0,NULL
PermitIUReporting,NULL,NULL,NULL,NULL,Freq,NULL,NULL,1,0,0,NULL
PermitIUSamp,NULL,NULL,NULL,NULL,Freq,NULL,NULL,1,0,0,NULL
PermitPump,NULL,NULL,NULL,NULL,Freq,NULL,NULL,1,0,0,NULL
Quarterly,NULL,0,3,0,Freq,NULL,NULL,0,0,0,NULL
SemiAnnual,2,0,6,0,Freq,NULL,NULL,0,0,0,NULL
This Month,NULL,NULL,NULL,NULL,View,2019-07-01 00:00:00.000,2019-07-31 23:59:59.000,1,0,0,17
This Week,NULL,NULL,NULL,NULL,View,2019-07-21 00:00:00.000,2019-07-27 23:59:59.000,1,0,0,18
This Year,NULL,NULL,NULL,NULL,View,2019-01-01 00:00:00.000,2019-12-31 23:59:59.000,1,0,0,19
Today,205,NULL,NULL,NULL,View,2019-07-24 00:00:00.000,2019-07-24 23:59:59.000,1,0,0,20
Tomorrow,NULL,NULL,NULL,NULL,View,2019-07-25 00:00:00.000,2019-07-25 23:59:59.000,1,0,0,21
Weekly,52,7,0,0,Freq,NULL,NULL,0,0,0,NULL
Yesterday,NULL,NULL,NULL,NULL,View,2019-07-23 00:00:00.000,2019-07-23 23:59:59.000,1,0,0,22
Batch,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
As Required,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
Biannual,NULL,0,6,0,Freq,NULL,NULL,0,0,0,NULL
2012,NULL,NULL,NULL,NULL,View,2012-01-01 00:00:00.000,2012-12-31 23:59:59.000,1,0,0,0
2014,NULL,NULL,NULL,NULL,View,2014-01-01 00:00:00.000,2014-12-31 23:59:00.000,1,0,0,0
2013,NULL,NULL,NULL,NULL,View,2013-01-01 00:00:00.000,2013-12-31 23:59:00.000,1,0,0,0
2015,NULL,NULL,NULL,NULL,View,2015-01-01 00:00:00.000,2015-12-31 23:59:00.000,1,0,0,0
Upon Initial Discharge,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
Prior to Discharge,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
SNC 1st Quarter,NULL,NULL,NULL,NULL,View,2016-10-01 00:00:00.000,2017-03-31 00:00:00.000,1,0,0,0
SNC 2nd Quarter,NULL,NULL,NULL,NULL,View,2017-01-01 00:00:00.000,2017-06-30 00:00:00.000,1,0,0,0
SNC 3rd Quarter,NULL,NULL,NULL,NULL,View,2017-04-01 00:00:00.000,2017-09-30 00:00:00.000,1,0,0,0
SNC 4th Quarter,NULL,NULL,NULL,NULL,View,2017-07-01 00:00:00.000,2017-12-31 00:00:00.000,1,0,0,0
2016,NULL,NULL,NULL,NULL,View,2016-01-01 00:00:00.000,2017-01-01 00:00:00.000,1,0,0,0
initial investigation,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
2017,NULL,NULL,NULL,NULL,View,2017-01-01 00:00:00.000,2018-01-15 00:00:00.000,1,0,0,0
Every three weeks,NULL,0,0,0,Freq,NULL,NULL,0,0,0,NULL
January 2017,NULL,NULL,NULL,NULL,View,2017-01-01 00:00:00.000,2017-01-31 00:00:00.000,1,0,0,0
February 2017,NULL,NULL,NULL,NULL,View,2017-02-01 00:00:00.000,2017-02-28 00:00:00.000,1,0,0,0
2018,NULL,NULL,NULL,NULL,View,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,1,0,0,1
