PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
2015 SSO,Reports,SSO 2015 Reports,Reports,NULL,Anchorage,AK,99503,NULL
2014 SSO,Reports,2014 SSO Reports,Reports,NULL,Anchorage,AK,99503,NULL
FA0000003,BAKE SHOP THE,FA0000003,BAKE SHOP THE,194 OLYMPIC MOUNTAIN LP #CCI,GIRDWOOD,AK,NULL,60A
FA0000004,EAGLE RIVER SNACK BAR,FA0000004,EAGLE RIVER SNACK BAR,12130 REGENCY DR,EAGLE RIVER,AK,99577-7712,50B
FA0000005,CARRS #1806 - RETAIL FISH,FA0000005,CARRS #1806 - RETAIL FISH,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000009,CARRS #1806 - CHINESE KITCHEN,FA0000009,CARRS #1806 - CHINESE KITCHEN,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000011,Judy's Café,FA0000011,Judy's Café,11620 Old Seward Hwy,ANCHORAGE,AK,99515,07E
FA0000012,STRAIGHT OUT OF PHILLY ALASKA LLC,FA0000012,STRAIGHT OUT OF PHILLY ALASKA LLC,210 E FIREWEED LN,ANCHORAGE,AK,99503-2734,03B
FA0000014,CARRS #1802 - DELI,FA0000014,CARRS #1802 - DELI,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000016,HAMBURGER HAVEN,FA0000016,HAMBURGER HAVEN,718 MULDOON RD,ANCHORAGE,AK,99504-2030,04H
FA0000017,FLIGHT DECK PIZZA,FA0000017,FLIGHT DECK PIZZA,832 W INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99518-1001,08A
FA0000020,CARRS #1812 - SALAD BAR,FA0000020,CARRS #1812 - SALAD BAR,4000 W DIMOND BLVD,ANCHORAGE,AK,99502-1466,07F
FA0000021,Uncle Joe's Pizzeria #4,FA0000021,Uncle Joe's Pizzeria #4,3401 E TUDOR RD,ANCHORAGE,AK,99507-1282,04B
FA0000024,CHOPSTICK,FA0000024,CHOPSTICK,320 W 5TH AVE 414,ANCHORAGE,AK,99501-2345,01C
FA0000025,TOMMY'S BURGER STOP,FA0000025,TOMMY'S BURGER STOP,1106 W 29TH PL,ANCHORAGE,AK,99503-3746,03B
FA0000027,PIZZA HUT #D3,FA0000027,PIZZA HUT #D3,2207 E TUDOR RD,ANCHORAGE,AK,99507-1069,04B
FA0000031,BLAINES KITCHEN & SNACK BAR,FA0000031,BLAINES KITCHEN & SNACK BAR,3411 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000032,GORSUCH BOY SCOUT CAMP,FA0000032,GORSUCH BOY SCOUT CAMP,22700 CAMP GORSUCH RD,CHUGIAK,AK,99567,NULL
FA0000033,DOWNTOWN SOUP KITCHEN,FA0000033,DOWNTOWN SOUP KITCHEN,434 E 4TH AVE,ANCHORAGE,AK,99501-2600,01C
FA0000035,AL'S ALASKAN INN,FA0000035,AL'S ALASKAN INN,7830 OLD SEWARD HWY,ANCHORAGE,AK,99518-3234,06A
FA0000036,SARA'S SANDWICHES,FA0000036,SARA'S SANDWICHES,5841 ARCTIC BLVD,ANCHORAGE,AK,99518-1688,08A
FA0000039,Baskins Robbins,FA0000039,Baskins Robbins,5678 DEBARR RD,ANCHORAGE,AK,99504,04E
FA0000049,GUMBO HOUSE,FA0000049,GUMBO HOUSE,611 W 9TH AVE,ANCHORAGE,AK,99501-3436,01C
FA0000053,CARRS #1802 - SALAD BAR,FA0000053,CARRS #1802 - SALAD BAR,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000055,CARRS #1809 - DELI,FA0000055,CARRS #1809 - DELI,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000058,CARRS #1813 - DELI,FA0000058,CARRS #1813 - DELI,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000059,"FALAFEL KING, THE",FA0000059,"FALAFEL KING, THE",930 GAMBELL ST A,ANCHORAGE,AK,99501-3759,02B
FA0000061,CARRS #1805 - DELI,FA0000061,CARRS #1805 - DELI,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000064,GREAT ALASKA PIZZA CO.,FA0000064,GREAT ALASKA PIZZA CO.,11432 BUSINESS BLVD #14,EAGLE RIVER,AK,99577-7740,52B
FA0000065,Thai Kitchen,FA0000065,Thai Kitchen,3405 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000067,CARRS #1806 - SALAD BAR,FA0000067,CARRS #1806 - SALAD BAR,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000070,CARRS #1813 - SALAD BAR,FA0000070,CARRS #1813 - SALAD BAR,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000071,BIG BOY EXPRESS MARKET,FA0000071,BIG BOY EXPRESS MARKET,3505 SPENARD RD,ANCHORAGE,AK,99503-3711,08B
FA0000073,CARRS #1809 - SALAD BAR,FA0000073,CARRS #1809 - SALAD BAR,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000074,ALASKA ZOO,FA0000074,ALASKA ZOO,4731 OMALLEY RD,ANCHORAGE,AK,99507,NULL
FA0000079,CAPONE'S PIZZA,FA0000079,CAPONE'S PIZZA,2820 BONIFACE PKWY,ANCHORAGE,AK,99504-3131,04E
FA0000080,Subway of Alaska #4802,FA0000080,Subway of Alaska #4802,1330 HUFFMAN RD,ANCHORAGE,AK,99515-3597,06F
FA0000081,CARRS #1817 - SALAD BAR,FA0000081,CARRS #1817 - SALAD BAR,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000082,CARRS #1817 - DELI,FA0000082,CARRS #1817 - DELI,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000083,ANCHORAGE BOWL,FA0000083,ANCHORAGE BOWL,6311 DEBARR RD F,ANCHORAGE,AK,99504-1775,04H
FA0000088,CARRS #1813 - CHINESE KITCHEN,FA0000088,CARRS #1813 - CHINESE KITCHEN,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
